Date,Open,High,Low,Close,Volume,Currency
4/13/2015,1207.2,1209.3,1196.1,1199.3,109553,USD
4/14/2015,1198.8,1201.3,1183.5,1192.6,161058,USD
4/15/2015,1192.2,1204.4,1188.3,1201.3,129198,USD
4/16/2015,1201.8,1208.8,1194.3,1198,157415,USD
4/17/2015,1198.6,1207.8,1197,1203.1,111545,USD
4/20/2015,1204.4,1209,1190.8,1193.7,137017,USD
4/21/2015,1195.8,1203.7,1192.5,1203.1,104705,USD
4/22/2015,1202.2,1204.4,1185,1186.9,152182,USD
4/23/2015,1186.9,1197.4,1183.6,1194.3,118111,USD
4/24/2015,1193,1195.4,1174.1,1175,156378,USD
4/27/2015,1179.3,1206.7,1177.6,1203.2,207200,USD
4/28/2015,1201.6,1214.9,1198.6,1213.9,157578,USD
4/29/2015,1211.4,1213.5,1200.7,1210,141075,USD
4/30/2015,1204.5,1207.4,1176,1182.4,212931,USD
5/1/2015,1183.7,1184.4,1168.4,1174.5,118476,USD
5/4/2015,1176.6,1192.1,1176.6,1186.8,107753,USD
5/5/2015,1187.5,1199.3,1184.9,1193.2,109749,USD
5/6/2015,1192.5,1196.9,1187.4,1190.3,105946,USD
5/7/2015,1191.3,1192,1177.9,1182.2,134937,USD
5/8/2015,1183.7,1193,1180.5,1188.9,143614,USD
5/11/2015,1189,1190.9,1178,1183,128097,USD
5/12/2015,1182.5,1196.3,1179.7,1192.4,139260,USD
5/13/2015,1192.5,1218.5,1190.4,1218.2,241719,USD
5/14/2015,1215,1227.7,1211.9,1225.2,177837,USD
5/15/2015,1220.9,1225.8,1210.6,1225.3,133239,USD
5/18/2015,1222.8,1232,1221.2,1227.6,120822,USD
5/19/2015,1225.4,1225.5,1205.1,1206.7,178961,USD
5/20/2015,1207.7,1213.2,1202.7,1208.7,127893,USD
5/21/2015,1209.4,1212.4,1200.8,1204.1,139665,USD
5/22/2015,1206,1214.6,1201,1204,142930,USD
5/25/2015,1205.2,1208.2,1184.8,1186.9,244624,USD
5/27/2015,1186.7,1190.4,1183,1185.6,200216,USD
5/28/2015,1188,1192.8,1180.2,1188.8,149999,USD
5/29/2015,1188.1,1194.4,1186,1189.8,102168,USD
6/1/2015,1189.8,1204.7,1184,1188.7,171248,USD
6/2/2015,1189.5,1196.4,1185.8,1194.4,111471,USD
6/3/2015,1193.8,1195.6,1179.1,1184.9,124179,USD
6/4/2015,1185.8,1186.6,1172.4,1175.2,155463,USD
